sid,e85_blender_pump,e85_other_ethanol_blends
1436,1.0,"[""E15""]"
1437,1.0,"[""E15""]"
1441,1.0,"[""E15""]"
1447,1.0,"[""E30-E35""]"
1451,1.0,"[""E20-E25"",""E30-E35""]"
1459,1.0,"[""E15""]"
1479,0.0,None
1480,1.0,"[""E30-E35"",""E40-Plus""]"
1487,0.0,None
6219,1.0,"[""E15""]"
7102,1.0,"[""E15""]"
7116,0.0,None
13039,1.0,"[""E20-E25"",""E30-E35""]"
13049,1.0,"[""E30-E35""]"
16239,0.0,None
16241,0.0,None
18964,0.0,None
18967,1.0,"[""E20-E25""]"
18971,0.0,None
18972,0.0,None
18976,0.0,None
18980,0.0,None
18982,0.0,None
18985,0.0,None
18986,0.0,None
18988,1.0,"[""E15""]"
19150,1.0,"[""E40-Plus""]"
19153,1.0,"[""E15"",""E20-E25"",""E30-E35"",""E40-Plus""]"
20745,0.0,None
20748,0.0,None
20759,0.0,None
20844,0.0,None
20867,1.0,"[""E40-Plus""]"
20868,1.0,"[""E15"",""E30-E35""]"
20899,0.0,None
20986,1.0,"[""E20-E25"",""E30-E35"",""E40-Plus""]"
20987,1.0,"[""E40-Plus""]"
20994,1.0,"[""E15"",""E30-E35"",""E40-Plus""]"
21090,1.0,"[""E20-E25"",""E30-E35"",""E40-Plus""]"
21290,1.0,"[""E15""]"
21442,0.0,None
21443,0.0,None
21444,1.0,"[""E30-E35""]"
21445,0.0,None
21446,1.0,"[""E30-E35""]"
21741,0.0,None
21765,0.0,None
21766,0.0,None
21965,0.0,None
21976,1.0,"[""E20-E25"",""E30-E35"",""E40-Plus""]"
21978,0.0,None
21992,0.0,None
21993,1.0,"[""E20-E25"",""E30-E35"",""E40-Plus""]"
21994,0.0,None
21996,0.0,None
22617,0.0,None
23311,1.0,"[""E40-Plus""]"
23804,0.0,None
23805,0.0,None
23806,0.0,None
23862,0.0,None
24807,0.0,None
25404,0.0,None
25406,0.0,None
25461,1.0,"[""E15"",""E20-E25""]"
25462,0.0,None
25463,1.0,"[""E15"",""E20-E25"",""E30-E35"",""E40-Plus""]"
25465,1.0,"[""E15"",""E20-E25"",""E30-E35""]"
25467,0.0,None
25468,1.0,"[""E20-E25""]"
25469,0.0,None
25470,1.0,"[""E15"",""E20-E25"",""E30-E35""]"
25687,0.0,None
25977,0.0,None
26014,0.0,None
26070,1.0,"[""E30-E35""]"
26153,0.0,None
26270,1.0,"[""E15"",""E30-E35""]"
26519,1.0,"[""E15"",""E20-E25"",""E30-E35""]"
26598,0.0,None
26599,0.0,None
26660,1.0,"[""E30-E35""]"
26663,0.0,None
26665,1.0,"[""E20-E25"",""E30-E35"",""E40-Plus""]"
26666,1.0,"[""E15""]"
26667,1.0,"[""E40-Plus""]"
26668,1.0,"[""E40-Plus""]"
26716,0.0,None
26835,0.0,None
26841,0.0,None
26842,1.0,"[""E15""]"
26845,1.0,"[""E15""]"
26850,1.0,"[""E40-Plus""]"
26851,1.0,"[""E30-E35""]"
26853,0.0,None
26856,0.0,None
26865,0.0,None
26867,0.0,None
26872,0.0,None
26878,0.0,None
26880,0.0,None
26978,1.0,"[""E15"",""E30-E35""]"
26982,0.0,None
26983,0.0,None
26984,0.0,None
27034,0.0,None
27166,0.0,None
27341,0.0,None
27342,0.0,None
27344,0.0,None
27345,0.0,None
27346,0.0,None
27347,0.0,None
27348,0.0,None
27349,0.0,None
27366,0.0,None
27372,0.0,None
27379,0.0,None
27382,0.0,None
27384,0.0,None
27385,1.0,"[""E30-E35""]"
27386,0.0,None
27391,1.0,"[""E20-E25"",""E30-E35"",""E40-Plus""]"
27396,0.0,None
27399,1.0,"[""E30-E35""]"
27404,1.0,"[""E15"",""E30-E35"",""E40-Plus""]"
27405,1.0,"[""E15""]"
27416,0.0,None
27427,1.0,"[""E15""]"
27428,1.0,"[""E15""]"
27429,1.0,"[""E40-Plus""]"
27432,1.0,"[""E15""]"
27434,1.0,"[""E15""]"
27442,1.0,"[""E30-E35""]"
27574,1.0,"[""E20-E25"",""E30-E35""]"
27590,1.0,"[""E15""]"
27599,1.0,"[""E15""]"
27846,0.0,None
27849,1.0,"[""E15""]"
27853,0.0,None
27987,0.0,None
27989,1.0,"[""E30-E35""]"
27990,1.0,"[""E30-E35""]"
27999,0.0,None
28000,0.0,None
28115,0.0,None
28202,1.0,"[""E30-E35""]"
28203,1.0,"[""E15""]"
28213,0.0,None
28217,0.0,None
28220,0.0,None
28288,1.0,"[""E15""]"
28289,0.0,None
28295,0.0,None
28299,0.0,None
28301,0.0,None
28307,0.0,None
28310,0.0,None
28317,0.0,None
28323,0.0,None
28326,1.0,"[""E15"",""E30-E35""]"
28327,1.0,"[""E15"",""E20-E25"",""E30-E35""]"
28330,1.0,"[""E40-Plus""]"
28335,1.0,"[""E15"",""E20-E25"",""E30-E35"",""E40-Plus""]"
28337,0.0,None
28338,1.0,"[""E15"",""E30-E35""]"
28340,1.0,"[""E15""]"
28342,1.0,"[""E15"",""E30-E35""]"
28343,1.0,"[""E15"",""E30-E35""]"
28423,1.0,"[""E15""]"
28633,1.0,"[""E15"",""E30-E35""]"
28634,1.0,"[""E20-E25"",""E30-E35""]"
28635,1.0,"[""E40-Plus""]"
28636,1.0,"[""E15"",""E30-E35""]"
28637,1.0,"[""E15""]"
28651,0.0,None
28654,1.0,"[""E15"",""E30-E35""]"
28667,1.0,"[""E15"",""E20-E25"",""E30-E35""]"
28765,0.0,None
28770,0.0,None
28773,1.0,"[""E15"",""E40-Plus""]"
28776,1.0,"[""E15"",""E30-E35""]"
28790,1.0,"[""E15"",""E20-E25"",""E30-E35"",""E40-Plus""]"
28791,0.0,None
28795,0.0,None
28973,0.0,None
28974,0.0,None
28976,1.0,"[""E15"",""E30-E35""]"
28985,1.0,"[""E20-E25"",""E30-E35""]"
28988,1.0,"[""E15"",""E30-E35""]"
28992,0.0,None
28994,1.0,"[""E15"",""E30-E35""]"
28998,0.0,None
29008,0.0,None
29009,0.0,None
29016,1.0,"[""E15""]"
29174,0.0,None
29176,0.0,None
29180,0.0,None
29184,1.0,"[""E15""]"
29193,1.0,"[""E30-E35""]"
29194,1.0,"[""E30-E35""]"
29287,0.0,None
29379,0.0,None
29386,0.0,None
29387,0.0,None
29388,0.0,None
29389,0.0,None
29390,0.0,None
29391,0.0,None
29393,0.0,None
29394,0.0,None
29395,0.0,None
29396,1.0,"[""E15""]"
29401,1.0,"[""E30-E35""]"
29402,0.0,None
29406,0.0,None
29409,0.0,None
29411,0.0,None
29414,0.0,None
29419,0.0,None
